datetime,avg cpu reading,max cpu reading,avg cpu VMTable,max cpu VMTable,p95_max_cpu,core count,memory (gb)
2016-11-21 15:45:00,1316196.7444660133,2394148.0629640054,748245.9481938818,4843751.890716992,2614651.19371501,143258,355944.75
2016-11-21 15:50:00,1315484.9312089898,2375076.4196529584,745681.9425859755,4831385.916759002,2604105.3010810143,142486,354854.75
2016-11-21 15:55:00,1347149.9838289667,2507417.9799949867,742354.2852519809,4824269.009421,2591368.5398840182,141511,353034.25
2016-11-21 16:00:00,1379187.907567019,2565980.9141869936,742414.9107481677,4828796.362380004,2593924.329619015,141656,354503.5
2016-11-21 16:05:00,1399159.5157870045,2578884.907461002,740897.1504082034,4823924.063364002,2589009.729901015,140975,352976.75
2016-11-21 16:10:00,1395155.7849000087,2589561.2278139954,738642.5863757455,4817588.495217995,2582555.512717017,140515,352759.25
2016-11-21 16:15:00,1397785.5252180165,2578510.1725230524,737738.3679433594,4809987.108179996,2572872.235230016,139653,351050.5
2016-11-21 16:20:00,1384462.6458029728,2559371.7941650013,738067.3931267015,4807175.400659991,2570690.713564016,138723,349848.0
2016-11-21 16:25:00,1413231.6915689823,2670534.4980589994,737373.942484689,4802490.555480997,2564320.768330016,138360,349126.75
2016-11-21 16:30:00,1406833.2002270033,2601728.4538249606,742071.0586969873,4821684.844030999,2579242.456826016,138464,349225.75
2016-11-21 16:35:00,1390054.8906860016,2574034.1173149897,743503.150519951,4825272.867009004,2581081.4874200164,138374,349074.25
2016-11-21 16:40:00,1383117.7490649938,2582769.92267402,739021.2718808029,4796547.656954006,2552990.8812050177,136441,346028.5
2016-11-21 16:45:00,1384228.9933519985,2577826.126176971,738167.2075005594,4786884.508094008,2545324.882373013,135634,344568.25
2016-11-21 16:50:00,1379911.6849530255,2557919.106702959,738716.6788835486,4787864.705593006,2546218.0995980143,135713,344486.5
2016-11-21 16:55:00,1360659.446505012,2504478.4700809666,737855.6120791765,4785109.144685008,2541697.947721014,135744,344499.75
2016-11-21 17:00:00,1341567.4402080178,2419959.406122965,739404.0001780816,4792918.756203009,2547390.5840780167,136538,346146.25
